аб;"(ав I, ай , аба мн. I, ар, мн. ;;PNCT
абагван;(абáгваᴴлъ,–аби);лопатка;NOUN
абагван;(абáгваᴴлъ,–аби);плечо;NOUN
абагьар;;масд. гл. абáгьила;UNKN
абагьар;(–лъ);отек;NOUN
а=б=агьи=ла;(–а,–ас̄,–абé,–б/о,–ӣйāх);опухать;INFN
абадийа=б;;вечный;ADJF
абадин-абада̄л̄ъир;;никогда;ADVB
абадин-абадил̄ъи;;никогда;ADVB
абарона;(–лъ/–лъилъ);оборона;NOUN
абарот;(–лъи лъ);оборот;NOUN
абат=ала;;;PNCT
абатар;;масд. гл. абáтила;UNKN
абатар;(–лъ);течка;NOUN
абатар;(–лъ);баловство;NOUN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);шевелить;INFN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раскачивать;INFN
абататалар;;масд. гл. абататáйла;UNKN
абататалар;(–лъ);шевеление;NOUN
абататалар;(–лъ);раскачивание;NOUN
абататар;;масд. гл. абáтатила;UNKN
абататар;(–лъ);шевеление;NOUN
абататар;(–лъ);шатание;NOUN
абататар;(–лъ);подергивание;NOUN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шевелиться;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шататься;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);подергиваться;INFN
абат=а̄ла;;;PNCT
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);быть в течке;INFN
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);баловаться;INFN
абатит=або;;см. титвáдила;UNKN
абгунийа=б;;см. áбщинаб;UNKN
абдар;;масд. гл. áбдила;UNKN
абдар;(–лъ);чистка;NOUN
абди=ла;(–ø,–ас̄,–а,–б/о,–āх);чистить;INFN
абе;(авé I,айé , абá мн. I, арé мн. );вот;PRCL
абейав;;вот;PRCL
абейай;;вот;PRCL
аб̄е;;вот;PRCL
абицар=апицер;(–щу/б,–заби);офицер;NOUN
абицарлгьар;(–лъ);офицерство;NOUN
апицант;(–щу/б,–заби);официант;NOUN
абтабиагра̄пийа;(–лъ,–би);автобиография;NOUN
авт̄обуз;(–улъ,–аби);автобус;NOUN
абтобус;(–улъ,–аби);автобус;NOUN
абтамат;(–илъ,–аби);автомат;NOUN
абтаномийа;(–лъ);автономия;NOUN
абтаномийаб;;автономный;ADJF
абтар;(–щу/б,–лъилъ,–заби);автор;NOUN
абтека;(–лъилъ,–аби);аптека;NOUN
абтикар;(–щуб,–лъилъ);аптекарь;NOUN
а=б=це=бел;(–щу/б,–лъилъ , ,–арýб мн.I,–арýлъ мн. );этот;ADJF
абцеӀила=ацебӀир;;в последнее время;NOUN
абцекъа̄л̄ъир;;в последнее время;NOUN
абшижит;(–илъ,–аби);общежитие;NOUN
абщежитийа;(–илъ,–аби);общежитие;NOUN
абщина=б=ащина=б;;столько;NUMR
авадана=б;;веселый;ADJF
авал;(–лъ,–áби);дом;NOUN
авал-ахир;(–лъ);пределы;NOUN
авал-ахир;(–лъ);ясность;NOUN
авара;(–лъ,–би);препятствие;NOUN
авара;(–лъ,–би);хлопоты;NOUN
авараг;(–щу/б,–заби);пророк;NOUN
аварийа;(–лъ,–би);авария;NOUN
аванс;(–илъ,–аби);аванс;NOUN
аваᵸтура;(–лъ,–би);авантюра;NOUN
аваᵸтурист;(–щуб,–заби);авантюрист;NOUN
аваᵸтуриска;(–лъ,–би);авантюристка;NOUN
августбо̄с̄Ӏ;(–улъ);август;NOUN
авейав;;вот;PRCL
авейай;;вот;PRCL
агитатур;(–щу/б,–лъилъ,–заби);агитатор;NOUN
акитацийа;(–лъ);агитация;NOUN
агитпуᵸкут;(–улъ,–аби);агитпункт;NOUN
аграном;(–щу/б,–лъилъ);агроном;NOUN
агъаз;(–илъ);забота;NOUN
агъаз;(–илъ);важность;NOUN
агъазвачӀу=б;;беспечный;ADJF
агъазвачӀу=б;;неважный;ADJF
агь;(–илъ);виноград;NOUN
агьа̄рахӣс;;поверхностно;ADJS
агьа̄рахӣс;;поверхностный;ADJF
агьецӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);поднимать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);вставать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);подниматься;INFN
агьи;;наверх;ADVB
агьи;;выше;NOUN
агьи;;на;INTJ
агьибугьа=йла;(–л,–лас̄,–лá, л̄о,–лēх);повторять;INFN
агьикьи;;вниз;ADVB
агьикъайди=ла;(–ø,–ас̄,–бе,–б/о,–āх);поручать;INFN
агьикьимакӀва;(–лъ,–би);сад;NOUN
агьикьих̄у=б;;крутой;ADJF
агьила;;еще;PRCL
агьила;;напротив;ADVB
агьила;;вдобавок;ADVB
агьилалъа̄би;;в будущем году;NOUN
агьим;(–улъ,–аби);балка;NOUN
агьӣс;;сверху;PREP
агьӣс;;с;NOUN
агьӣс;;верхний;ADJF
агьӣс=ба=гъу=ла;(–ø, агьӣс̄багъвас̄, агьӣс̄багъва,–б/о, агьӣс̄багъвēх);просить прощения;INFN
агьӣс=б=елъила;(–ø,–ас̄,–бе,–б/о,–ēх);прощать;INFN
агьӣс=б=елъу=б;;ловкий;ADJF
агьихинди;;выше;NOUN
агьло;(–лъ/–лъилъ, собир.);люди;NOUN
агьо̄лела;(–улъ,–иби);тыльная сторона ладони;ADJF
адаб;(–илъ);вежливость;NOUN
адабе;;вот;PRCL
адабочӀу=б;;невоспитанный;ADJF
адабейав;;вот;PRCL
адабейай;;вот;PRCL
адабийат;(–илъ);литература;NOUN
адаб-хъатир;(–лъ);уважительность;NOUN
адабчӀана̄с;;вежливый;ADJF
адабида=б;;вежливый;ADJF
арам;(–улъ);человек;NOUN
адамвачӀу=б;;одинокий;ADJF
адамгьела=ба;;человечный;ADJF
адарейав;;вот;PRCL
адарейай;;вот;PRCL
адвакат;(–щу/б,–лъилъ,–заби);адвокат;NOUN
адийал;(–лъ,–аби);одеяло;NOUN
адикалон;(адикалóНлъ/адикалóНлъилъ,–аби);одеколон;NOUN
адрис;(–илъ,–аби);адрес;NOUN
а̄деленийа;(–лъ,–би);отделение;NOUN
а̄дил;(–лъилъ,–аби);отдел;NOUN
адж̄и=ла;(–ø,–ēс̄,–ē, б/о,–ийāх);поцеловать;INFN
азал;(–лъ,–аби);долото;NOUN
азалийа=б;;вечный;ADJF
азалийа=б;;предопределенный;PRTF
азалу=б;;постный;ADJF
азалъ;(–улъ,–аби);дверная коробка;ADJF
азарда;;тысяча;NOUN
азарда̄л̄ъир;;тысяча;NOUN
азарчӀекӀу=б;;тысяча;NOUN
азбар;(–лъ,–ал);двор;NOUN
аздагьо;(–лъ, аздагьвáби);дракон;NOUN
аздагьо;(–лъ, аздагьвáби);злой человек;ADJF
азербижана=в;(–щу/б,–ди);азербайджанец;NOUN
азербижанади;(–уб);азербайджанцы;NOUN
азербижанай;(–л̄ъ̄илъ, азербижáнади);азербайджанка;NOUN
ази-азарда;;тысяча;NOUN
айат;(–илъ,–аби);стих;NOUN
ай̄е;;вот;PRCL
ай̄о;;вот;PRCL
айрадром;(–лъилъ,–аби);аэродром;NOUN
акв̄е=ла;(–ø,–с̄,–ø,–б/о,–йāх);косить;INFN
акве̄р;(–лъилъ);жатва;NOUN
акийан;(акийáНлъилъ,–аби);океан;NOUN
акта;(–лъ,–би);акт;NOUN
актабирбо̄с̄Ӏ;(–улъ);октябрь;NOUN
акушерка;(–лъ,–би);акушерка;NOUN
акъвакь;(–илъ,–аби);навес;NOUN
акъвар;;масд. гл. áкъула;UNKN
акъвар;(–лъ);кровля;NOUN
акъо;(–лъ,–би);конура;NOUN
акъо;(–лъ,–би);шалаш;NOUN
акъо;(–лъ,–би);лачуга;NOUN
акӀвама=аркӀвама;(–лъ,–би);стреха;NOUN
акӀвама=аркӀвама;(–лъ,–би);козырек;NOUN
акӀвама=аркӀвама;(–лъ,–би);фуражка;NOUN
ал;(–илъ,–аби);лист;NOUN
ал;(–илъ,–аби);листва;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);стойло;NOUN
алара;(–лъ,–би);стог;NOUN
алат;(–илъ, собир.);инструмент;NOUN
алахъ;(–лъилъ,–аби);глушь;NOUN
алахъ;(–лъилъ,–аби);пастбище;NOUN
алахъ;(–лъилъ,–аби);пустое место;ADJF
албом=албум;(албóНлъилъ,–аби);альбом;NOUN
алгьа=б;"(–в I,–й ,–ба мн. I,–р мн. ;pron;LATN
ах̄тур;(–лъилъ,–аби);плевок;NOUN
ахъар;;масд. гл. áхъила;UNKN
ахъар;(–лъ);помол;NOUN
ахъар;(–лъ);сверление;NOUN
ахъахъа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раздвигать;INFN
ахъахъалар;;масд. гл. ахъахъáйла;UNKN
ахъахъалар;(–лъ);раздвижка;NOUN
ахъил;(–лъ);вьюнок;NOUN
ахъи=ла;(–ø,–áс̄,–á,–б/о,–́а̄х);молоть;INFN
ахъи=ла;(–ø,–áс̄,–á,–б/о,–́а̄х);сверлить;INFN
ахъула;;у камина;INTJ
ахӀвал-хӀал;(–лъилъ);обстоятельство;NOUN
ахӀи;(–лъ);клич;NOUN
ахӀи-хӀур;(–лъилъ);шум;NOUN
ахӀухъ=ан;(–аᴴщу/б,–аᴴзаби);певец;NOUN
ача;(–илъ,–иби);крышка;PRED
ача;(–илъ,–иби);лист;NOUN
ача;(–илъ,–иби);гуменник;NOUN
ачакӀих̄а=йла;(–л,–лас̄,–ла,–л̄о,–лēх);лохматить;INFN
ачакӀих̄и=ла;(–ø,–ас̄,–бе,–б/о,–ēх);лохматиться;INFN
ачар;(–алъ);борщевик;NOUN
ачко;(–лъ,–би);очко;NOUN
ачот;(–улъ,–ал);отчет;NOUN
аштар;;масд. гл. áштила;UNKN
аштар;(–лъ);слушание;NOUN
аштар;(–лъ);послушание;NOUN
ашти=ла;(–ø,–áс̄,–бá,–б/о,–ех);слушать;INFN
ашти=ла;(–ø,–áс̄,–бá,–б/о,–ех);слушаться;INFN
ашти=ла;(–ø,–áс̄,–бá,–б/о,–ех);послушай;VERB
ащ;(–илъ,–аби);оспина;NOUN
ащ;(–илъ,–аби);жировые складки;ADJF
ащ;(–илъ,–аби);ремень;NOUN
ащар;;масд. гл. áщила;UNKN
ащар;(–лъ);начало;NOUN
ащах̄а=йла;(–л,–лáс̄,–лá,–л̄о,–лēх);запутывать;INFN
ащах̄а=йла;(–л,–лáс̄,–лá,–л̄о,–лēх);впутывать;INFN
ащах̄алар;;масд. гл. ащаOáйла;UNKN
ащах̄алар;(–лъ);внесение беспорядка;NOUN
ащах̄ар;;масд. гл. ащáOила;UNKN
ащах̄ар;(–лъ);запутанность;NOUN
ащах̄ар;(–лъ);донник;NOUN
ащах̄и=ла;(–ø,–ас̄,–бе,–б/о,–ēх);запутываться;INFN
ащах̄и=ла;(–ø,–ас̄,–бе,–б/о,–ēх);вмешиваться;INFN
ащдада;;просто;ADJS
ащду=б;;такой;ADJF
ащдубда=ащдуба;;никчёмный;ADJF
ащдубда=ащдуба;;незначительный;ADJF
ащи=ла;(–а,–ас̄,–абе,–б/о,–āх);начинать;INFN
ащу=б;;см. аб;UNKN
ащула;;см. аб;UNKN
а̄х̄;;баю-бай;INTJ
аᵸбар;(–лъ,–аби);амбар;NOUN
амбар;(–лъ,–аби);амбар;NOUN
аᵸбулаторийа;(–лъ,–би);амбулатория;NOUN
аᵸгултайпа;;ангорской породы;ADJF
аᵸгьан;(в значении  понимаю, слушаю, понятно, ясно);ага;NOUN
аᵸж;(–илъ, –аби);метка;ADJS
аᵸжбугьар;;масд. гл. аᴴжбýгьула;UNKN
аᵸжбугьар;(–лъ);мечение;NOUN
аᵸжбугьу=ла;(–ø,–áс̄,–а,–б/о,–е́̄х);метить;INFN
аᵸжитв;(аᴴжӣтулъ,–áби);топор;NOUN
аᵸз;(–илъ);снег;NOUN
аᵸзигьацӀа=б;;белоснежный;ADJF
аᵸ̄л̄ъа;(–ýлъ,–би);рана;NOUN
аᵸ̄л̄ъа;(–ýлъ,–би);душевная рана;ADJF
аᵸ̄л̄ъулъжим;(–улъ);молодило;VERB
аᵸс;(–щу/б,–аби);лекарь;NOUN
аᵸ̄са=б;;теплый;ADJF
аᵸ̄са=б;;тепло;ADJS
аᵸ̄сабил;(–лъилъ,–аби);ансамбль;NOUN
аᵸ̄салгьар;;масд. гл. áНс̄алгьила;UNKN
аᵸ̄салгьар;(–лъ);потепление;NOUN
аᵸ̄салгьар;(–лъ);теплота;NOUN
ан̄салгьи=ла;(ø,–ас̄,–бе,–б/о,–ēх);согреваться;INFN
ан̄салгьи=ла;(ø,–ас̄,–бе,–б/о,–ēх);теплеть;INFN
аᵸ̄сейар;;масд. гл. аᴴс̄е́̄ла;UNKN
аᵸ̄сейар;(–лъ);подогрев;GRND
аᵸ̄сейар;(–лъ);поджаривание;NOUN
ан̄с=̄ела;(–е,–ес̄,–е,–е/б/о,–ейāх);подогревать;INFN
ан̄с=̄ела;(–е,–ес̄,–е,–е/б/о,–ейāх);поджарить;INFN
анта;(–лъ);сливки;NOUN
аᵸта=б;;чуть теплый;CONJ
аᵸталгьа=йла;(–л,–лас̄,–ла,–л̄о,–лēх);греть;INFN
аᵸталгьалар;;масд. гл.  аᴴтáлгьайла;UNKN
аᵸталгьалар;(–лъ);подогрев;GRND
аᵸталгьар;;масд. гл.  аᴴтáлгьила;UNKN
аᵸталгьи=ла;(–ø,–ас̄,–á,–б/о,–ēх);нагреваться;INFN
аᵸтена;(–лъ,–би);антенна;NOUN
аᵸхвагьекӀоча;(–улъ,–би);крыса;NOUN
анч=а;(–ӣлъ,–иби);глыба;NOUN
аᵸчилъгӀеч;(–илъ);камнеломка;NOUN
аᵸщ;;раз;NOUN
аᵸщ;;однажды;ADVB
аᵸщ;;сперва;ADVB
аᵸщалъи;;иногда;ADVB
аᵸщв;(áНщулъ,–аби);тень;NOUN
аᵸщида-аᵸщ;;всего раз;ADJF
аᵸщидала;;ни разу;CONJ
анщила;;в следующий раз;NOUN
а̄ᵸ;;а;PRCL
баба;(–лъилъ,–би);мама;NOUN
бабанар;;звукоподражание звуку горящего пламени;NOUN
бабуш;(–улъ,–аби);утка;NOUN
баго;(–лъ,–би);соска;NOUN
багула;(–лъ,–би);межа;NOUN
багъа;(–лъ,–би);группировка;NOUN
б=агъарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);сдвигать;INFN
б=агъарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);шевелить;INFN
б=агъарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);затевать;INFN
б=агъаридалар;;масд. гл.   багъáридайла;UNKN
б=агъаридалар;(–лъ);сдвиг;NOUN
б=агъаридалар;(–лъ);шевеление;NOUN
б=агъаридар;;масд. гл.  багъáридила;UNKN
б=агъаридар;(–лъ);сдвиг;NOUN
б=агъаридар;(–лъ);шевеление;NOUN
б=агъаридар;(–лъ);волнение;NOUN
б=агъаридар;(–лъ);начало;NOUN
б=агъариди=ла;(–ø,–ас̄,–ба,–б/о,–āх);шевелиться;INFN
б=агъариди=ла;(–ø,–ас̄,–ба,–б/о,–āх);волноваться;INFN
б=агъариди=ла;(–ø,–ас̄,–ба,–б/о,–āх);начаться;INFN
багъвар;;масд. гл. бáгъула//бáгъвēла;UNKN
багъвар;(–лъ);выщипывание;NOUN
б=агъидар;;масд. гл.  бáгъидила;UNKN
б=агъидар;(–лъ);кара;NOUN
б=агъиди=ла;(–ø,–ас̄,–ба,–б/о,–āх);быть покаранным;INFN
багъ=ула;(–у,–вас̄/.–ас̄,–вá/–а,–ви/б/о/–ēбо, уйāх/éйāх);выщипывать;INFN
багъ=ве̄ла;(–у,–вас̄/.–ас̄,–вá/–а,–ви/б/о/–ēбо, уйāх/éйāх);выщипывать;INFN
багьа;(–лъ,–би);цена;NOUN
б=агьагьар;;масд. гл.   багьáгьила;UNKN
б=агьагьар;(–лъ);падение;NOUN
б=агьагьар;(–лъ);хлопоты;NOUN
б=агьагьар;(–лъ);ковыряние;NOUN
б=агьагьи=ла;(–ø,–ас̄,–ба,–б/о,–ēх);ударяться;INFN
б=агьагьи=ла;(–ø,–ас̄,–ба,–б/о,–ēх);падать;INFN
б=агьагьи=ла;(–ø,–ас̄,–ба,–б/о,–ēх);кидаться;INFN
б=агьагьи=ла;(–ø,–ас̄,–ба,–б/о,–ēх);хлопотать;INFN
б=агьагьи=ла;(–ø,–ас̄,–ба,–б/о,–ēх);рыться;INFN
багьадур;(–щý/б,–заби);храбрец;NOUN
багьадур;(–щý/б,–заби);Багадур (имя собств. мужское);NOUN
б=агьа=йла;(–л,–лас̄,–лá,–л̄и/б/о,–лēх);понуд. от  багьила;UNKN
б=агьа=йла;(–л,–лас̄,–лá,–л̄и/б/о,–лēх);бросать;INFN
б=агьалар;;масд. гл.  багьáйла;UNKN
б=агьалар;(–лъ);бросок;ADJS
б=агьалгьа=йла;(–ли,–лас̄,–ла,–л̄о,–лēх);старить;INFN
б=агьалгьа=йла;(–ли,–лас̄,–ла,–л̄о,–лēх);оставлять;INFN
б=агьалгьалар;;масд. гл. багьáлгьайла;UNKN
б=агьалгьалар;(–лъ);придание старого вида;NOUN
б=агьалгьар;;масд.гл.  багьáлгьила;UNKN
б=агьалгьар;(–лъ);старость;NOUN
б=агьалгьар;(–лъ);перезрелость;NOUN
б=агьалгьи=ла;(ø,–ас̄,–бе,–б/о,–ēх);стареть;INFN
б=агьалгьи=ла;(ø,–ас̄,–бе,–б/о,–ēх);перезревать;INFN
багьана;(–лъ,–би);повод;NOUN
багьана;(–лъ,–би);недостаток;NOUN
багьанавачӀу=б;;безупречный;ADJF
б=агьар;;масд. гл.   бáгьила;UNKN
б=агьар;(–лъ);нападение;NOUN
б=агьар;(–лъ);удар;NOUN
б=агьар;(–лъ);падение;NOUN
б=агьар;(–лъ);восход;NOUN
багьаро;(–лъ,–би);старое животное;NOUN
б=агьару=б;;старый;ADJF
б=агьару=б;;перезрелый;ADJF
б=агьвагь=ула;(–и,–ас̄,–а/б/é,–и/р/о,–ēх);собираться;INFN
б=агьвагь=ула;(–и,–ас̄,–а/б/é,–и/р/о,–ēх);возвращаться;INFN
б=агьвагь=ула;(–и,–ас̄,–а/б/é,–и/р/о,–ēх);переставать;INFN
б=угьугь=ула;(–и,–ас̄,–а/б/é,–и/р/о,–ēх);собираться;INFN
б=угьугь=ула;(–и,–ас̄,–а/б/é,–и/р/о,–ēх);возвращаться;INFN
б=угьугь=ула;(–и,–ас̄,–а/б/é,–и/р/о,–ēх);переставать;INFN
б=агь=̄ела;(–ал/–л,–алáс̄/лас̄,–ала/–ла,–áл̄о/–л̄о,–áлēх/–лēх);понуд. от   бéгьила;UNKN
багьа=йла;(–ал/–л,–алáс̄/лас̄,–ала/–ла,–áл̄о/–л̄о,–áлēх/–лēх);понуд. от   бéгьила;UNKN
б=агьи=ла;(–а,–áс̄,–абé,–а/б/о,–е́̄х);бросаться;INFN
б=агьи=ла;(–а,–áс̄,–абé,–а/б/о,–е́̄х);ударяться;INFN
б=агьи=ла;(–а,–áс̄,–абé,–а/б/о,–е́̄х);падать;INFN
б=агьи=ла;(–а,–áс̄,–абé,–а/б/о,–е́̄х);восходить;INFN
б=агьи=ла;(–а,–áс̄,–абé,–а/б/о,–е́̄х);прибыть;INFN
б=агьвагьар;;масд. гл. багьвáгьула//багьýгьула;UNKN
б=агьвагьар;(–лъ);сбор;NOUN
б=агьвагьар;(–лъ);возвращение;NOUN
б=агьвагьар;(–лъ);прекращение;NOUN
багӀа;(–илъ,–иби);лицо;NOUN
б=агӀа=б;;острый;ADJF
б=агӀа=б;;остроумный;ADJF
багӀадар;;масд. глаг. багÍа̄дила;UNKN
багӀадар;(–лъ);блеяние;NOUN
багӀа̄ди=ла;(–ø,–ас̄,–бе,–б/о,–āх);блеять;INFN
багӀаку;(–лъ,–би);овца;NOUN
багӀалгьар;;масд. гл.  бáгIалгьила;UNKN
багӀалгьар;;лезвие;NOUN
багӀалгьар;;холодное оружие;ADJF
б=агӀалгьи=ла;(ø,–ас̄,–бе,–б/о,–ēх);затачиваться;INFN
б=агӀарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);накалять;INFN
б=агӀарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);проявлять активность;INFN
б=агӀарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);дать нагоняй;INFN
багӀаридалар;;масд. гл.  багIáридайла;UNKN
багӀаридалар;(–лъ);накал;NOUN
багӀаридалар;(–лъ);активность;NOUN
багӀаридалар;(–лъ);нагоняй;VERB
багӀачи;(–лъ,–аби);хвойная шишка;ADJF
багӀачикьетӀв;(–лъ);хвойные семена;ADJF
б=агӀ̄е=ла;(–é–с̄,–é,–б/о,–йāх);затачивать;INFN
бадиржан;(бадиржáНлъ);баклажан;NOUN
бажа;(–щу/б,–би);свояк;NOUN
бажари;(–лъ);способность;NOUN
бажаривачӀу=б;;бездарный;ADJF
бажар̄ида=б;;способный;ADJF
бажарида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);справляться;INFN
бажаридалар;(–лъ);масд. гл. бажáридайла;UNKN
бажаридалар;(–лъ);завершение;NOUN
бажаридар;;масд. гл.  бажáридила;UNKN
бажариди=ла;(ø,–ас̄,–бе,–б/о,–āх);уметь;INFN
бажаричӀана̄с;;способный;ADJF
база;(–лъ,–би);база;NOUN
базалийа=б;;здоровенный;ADJF
базар;(–лъ,–би);рынок;NOUN
базар;(–лъ,–би);беспорядок;NOUN
базарган;(–щу/б,–лъилъ,–заби);торговец;NOUN
базман;(базмáНлъ,–аби);безмен;NOUN
байана=б;;понятный;ADJF
байана=б;;явный;ADJF
байанлгьар;;масд. гл. байаᴴлгьила;UNKN
байанлгьар;(–лъ);ясность;NOUN
байаᵸлгьи=ла;(–ø,–ас̄,–бе,–б/о,–идāх);выясняться;INFN
байаᵸдже̄р;;масд. гл.  байáНджӣла;UNKN
байаᵸдже̄р;(–лъ);выяснение;NOUN
байанджи;(–ӣ,–ēс̄,–ē,–б/о,–ӣйāх);выяснять;INFN
ла;(–ӣ,–ēс̄,–ē,–б/о,–ӣйāх);выяснять;INFN
байбихьидар;;масд. гл.   бáйбихьидила;UNKN
байбихьидар;(–лъ);начало;NOUN
байбихьиди=ла;(–с,–ас̄,–а,–б/о,–āх);начинаться;INFN
байбихьиди=ла;(–с,–ас̄,–а,–б/о,–āх);начинать;INFN
байганда;;неужели;INTJ
байдан;(–лъ/байдáᴴлъ,–аби);площадь;NOUN
байдан;(–лъ/байдáᴴлъ,–аби);обширная местность;ADJF
байдан;(–лъ/байдáᴴлъ,–аби);поляна;NOUN
б=айди=ла;(–ø,–ас̄,–а,–б/о,–āх);кидать;INFN
б=ай=ла;(–ø,–ас̄,–а,–б/о,–āх);кидать;INFN
б=айду=б;;зависимый;ADJF
байрахъ;(–илъ,–аби);флаг;NOUN
байрахъулав;(–щу/б, байрáхъулал);знаменосец;NOUN
байтумал;(–лъилъ);общественное имущество;ADJF
бакъа;;скорее;COMP
бакъа-бакъада;;часто;ADJS
бакъада;;рано;ADVB
бакъада;;давно;ADVB
бакъада̄с;;давний;ADJF
бакъада̄сда;;давний;ADJF
б=акъакъи=ла;(ø,–ас̄,–á,–б/о,–āх);разрубать;INFN
б=акъакъи=ла;(ø,–ас̄,–á,–б/о,–āх);тесать;INFN
б=акъакъи=ла;(ø,–ас̄,–á,–б/о,–āх);врать;INFN
б=акъар;;масд. гл. бáкъила;UNKN
б=акъар;(–лъ);разруб;NOUN
б=акъар;(–лъ);тесание;NOUN
б=акъар;(–лъ);вранье;NOUN
б=акъаща=йла;(–л,–лас̄,–ла,–л̄о,–лāх);прятать;INFN
б=акъаща=йла;(–л,–лас̄,–ла,–л̄о,–лāх);закрывать;INFN
б=акъащалар;;масд. гл. бáкъащайла, бáкъащēла;UNKN
б=акъащалар;(–лъ);закрывание;NOUN
б=акъащалар;(–лъ);прятание;NOUN
б=акъащалар;(–лъ);заделывание;NOUN
б=акъащар;;масд. гл. бáкъащила;UNKN
б=акъащар;(–лъ);прятание;NOUN
б=акъащ=е̄ла;(–али,–алас̄,–ала,–али/б/о,–алēх);прятать;INFN
б=акъащи=ла;(ø,–ас̄,–а,–б/о,–āх);прятаться;INFN
б=акъащи=ла;(ø,–ас̄,–а,–б/о,–āх);погружаться;INFN
бакъдабачӀур;(–лъ);паслён черный;NOUN
бакъдабӯс;(–улъ);лютик кавказский;NOUN
бакъикъар;;масд. гл. бáкъакъила;UNKN
бакъикъар;(–лъ);разруб;NOUN
бакъикъар;(–лъ);тесание;NOUN
бакъикъар;(–лъ);привычка лгать;NOUN
б=акъи=ла;(–ø,–áс̄,–á,–б/о,–е́̄х);разрубать;INFN
б=акъи=ла;(–ø,–áс̄,–á,–б/о,–е́̄х);тесать;INFN
б=акъи=ла;(–ø,–áс̄,–á,–б/о,–е́̄х);завираться;INFN
бакь;(–илъ,–а);кишка;NOUN
бакь;(–илъ,–а);колбаса;NOUN
бакь;(–илъ,–а);разветвление;NOUN
бакь;(–илъ,–а);коса;ADJS
бакь;(–илъ,–а);фитиль;NOUN
бакь;(–илъ,–а);гашник;NOUN
бакь;(–илъ,–а);плетение;NOUN
бакь;(–илъ,–аби);середина;NOUN
б=акьани;;в середине;NOUN
б=акьанӣс;;средний;ADJF
б=акьанӣс;;с середины;NOUN
б=акьанӣсини;;посередине;PREP
б=акьа̄р;;между;PREP
бакьах;;между;PREP
б=акьахӣс;;посредственный;ADJF
б=акьахӣс;;средний;ADJF
бакьбетӀул;;до отвала;PREP
б=акьи-б=акьа̄х;;изредка;ADVB
бакьилгьар;(–лъ);посиделки;NOUN
б=акьӣс;;общий;ADJF
бакьмакӀва;(–лъ,–би);середина;NOUN
бакьу;(–лъ, бáкьваби/–би);прозвище внебрачного ребенка;NOUN
бакьулъиджӯ=б;(о ребенке);внебрачный;ADJF
бакьун;(–алъ,–аби);макушка;NOUN
б=акьхъинар;;масд. гл.   бáкьхъинила;UNKN
б=акьхъинар;(–лъ);переломление;NOUN
б=акьхъин=ила;(–и,–ас̄,–а,–и/б/о,–āх);переломиться;INFN
бакӀвакӀ=ула;(–ва,–вас̄,–вá,–ва/б/о,–вēх);латать;INFN
бакӀвал;(–лъ,–аби);рубец;NOUN
бакӀвал;(–лъ,–аби);желудок;NOUN
бакӀвал;(–лъ,–аби);корпус;NOUN
бакӀвала;(–лъ,–би);пола;NOUN
бакӀвал-кӀач;(–илъ,–би);пищеварительная система;ADJF
бакӀвар;;масд. гл.  бáкIула;UNKN
бакӀвар;(–лъ);латание;NOUN
бакӀвакӀар;;масд. гл.  бакIвáкIула;UNKN
бакӀвакӀар;(–лъ);латание;NOUN
б=акӀ=ула;(–ва,–вáс̄,–вá,–ва/б/о,–вēх);латать;INFN
бала;(–илъ,/–лъ,–иби/–би);кусок;NOUN
бала;(–илъ,/–лъ,–иби/–би);край;NOUN
бала;(–илъ,/–лъ,–иби/–би);берег;VERB
бала;(–илъ,/–лъ,–иби/–би);угол;NOUN
балагь;(–илъ,–аби);беда;PRED
балагь;(–илъ,–аби);хлопоты;NOUN
балагь;(–илъ,–аби);обуза;NOUN
балалайка;(–лъ,–би);балалайка;NOUN
б=ала=йла;(–л,–лас̄,–ла,–л̄л,–лēх);заставлять одеться;INFN
б=ала=йла;(–л,–лас̄,–ла,–л̄л,–лēх);одевать;INFN
б=алалар;;масд. гл.   бáлайла;UNKN
б=алалар;(–лъ);одевание;NOUN
б=алалилар;(–лъ);масд. глагола бáлалила;UNKN
